ascii,unicode,collection,pairs,reserved,premium,status,notes,hash,nope,beachfront,description,tier,tier (toptlds),emoji,reserved
bootsector,bootsector,development,,,,,,516deb4d6985ec7983927cdbd7f3347a313c333d253d8f46c7f47896ec3d6a83,,TRUE,,DEFAULT,DEFAULT,,
bostonia,bostonia,&c,,,,,,c794d24d51c0b06f6f9969b27fde8a0499c04f213b27441836def4878257008a,,,,DEFAULT,DEFAULT,,
boughs,boughs,&c,,,,,,164572288c2367a9c3d1b55b162d83444bb60643b75027acaca87b1685ccd0db,,,,COMMON,COMMON,,
braggart,braggart,generic,,,,,,8b748876720d7f9a0ec9d5b3ec7633e1f0ae6387e4a6d6d28c5c10c0c91622bf,,TRUE,,DEFAULT,COMMON,,
brainrot,brainrot,,,,,,,71c4955bb87f713a40a68e809719afafea2e204ddfeb4f2ea440d4133ff20d1c,,,,DEFAULT,DEFAULT,,
brandalism,brandalism,hack,,,,,,fbaf8956bb4a227fb413a8e199bcd1308001d957ca595d29baa599cc28c393d5,,TRUE,,DEFAULT,DEFAULT,,
brigadier,brigadier,politics,,,,,,42672536c557357a0aa675c7f4bacd2ef3e348015addd3496a5b6b5de33cad3b,,,,RARE,COMMON,,
brinner,brinner,,,,,,,f3c90a7e602a842bb32af88b77669f42a0e0f0b076c15fc022e17896d2d0e6ee,,TRUE,,DEFAULT,DEFAULT,,
brittania,brittania,politics,,,,,,31db0b03c18151d48b46e6a3cf21ca7fb6ef4a8c460efb20fb9315c278f292bb,,,,DEFAULT,DEFAULT,,
brokenhearted,brokenhearted,love,,,,,,87653b1f7325e2d4c298785b71b374f8eeb4e944c0335069a99f2641bc9d4448,,,,DEFAULT,DEFAULT,,
bso,bso,&c,,,,,,9ab112862a89a3feb6994324815d90e827f62d13765ea0d642020cc5b742cdbc,,,,DEFAULT,RARE,,
bubblegum,bubblegum,,,,,,,5f58b00f6e9b35a52c74f7c88cf9f34b3e8fa7b78a8604f31e7c41c0b3434803,,TRUE,,COMMON,DEFAULT,,
bundt,bundt,,,,,,,8eeb0b017c4ff1c3f19cfc0bb771483f49ff420697be745530d6a177d0d695ec,,,,COMMON,COMMON,,
caneco,caneco,&c,,,,,,5022d66d3f549d8377202876a454f6b027de6f1c683da7533fc5b70d086f2b44,,,,COMMON,DEFAULT,,
cannabistoken,cannabistoken,"decentralize, finance",,,,,,b3dd1e6a679d05d2a13cc1bc0d1e12ae42920e865e11902514992e215a204b45,,,,DEFAULT,DEFAULT,,
canvass,canvass,politics,,,,,,8d4ef3285ae0b408cccb7231310163b8b649d7b2918c505ec512a80d33c92943,,TRUE,,COMMON,COMMON,,
casie,casie,deus ex,,,,,,094b512ba6bc36816e821e27c2dc5d06754d9a253e32c59e672edc4f7ba351a6,,,,RARE,RARE,,
caters,caters,food,,,,,,a5b853db3fa80c7d4567be6cb25cdb08bc3bc4b5b84608afd63c9dba694f9057,,TRUE,,COMMON,COMMON,,
catt,catt,&c,,,"iam, mynameis",,,62b59c37beeb78b6b146fa243680befa95078c303b36d41cabac7bf9ae913a82,,,,DEFAULT,COMMON,,
cc0munity,cc0munity,,,,,,,0f57565fbfda7938f348a76e67538311a9552fdaa89775877dabc7737d3566a3,,,,DEFAULT,DEFAULT,,
celestine,celestine,science,,,,,,199df2fdbca3ae6ee4ad41de8a7d94c2980cdbdaba1f186a29ef0866e8b9f932,,,,RARE,EPIC,,
centuria,centuria,,,,,,,b328998ef197b072d8f5355a9e8a1fb5f003f8dc0bd1a024f6de2d9b07a31593,,,,DEFAULT,RARE,,
cerulean,cerulean,design,,,"city, color, colour",,,1b318df09efba354f336f2357c564e4d260e392cd58311d159f4466547996639,,TRUE,,EPIC,RARE,,
cetra,cetra,music,,,,,,92f38819c6798cadfe09429b18af731a803965098f483285fd09848fe7eca768,,,,COMMON,DEFAULT,,
chacao,chacao,&c,,,,,,6f7d4122907b1c79690e8effc6ea94bfa2fd5e69498504ae08618dc95622d9ef,,,,DEFAULT,DEFAULT,,
cherub,cherub,love,,,,,,a10ad92ed0812697c2e0dccc4c426874776337d81b5dc8c38ed352ded4416fa2,,TRUE,,DEFAULT,COMMON,,
chet,chet,,,,,,,a6d095f9053f06ba93d84a27e08a0a07efaa89008021e29213f0a6f5ba46de63,,,,LEGENDARY,RARE,,
chillwave,chillwave,,,,"listen, play, radio",,,c38e2dd80bfc04cf055df7d50cc605189b0c7509aaa5639f40cd51486a05579a,,TRUE,,DEFAULT,DEFAULT,,
chown,chown,development,,,,,,a78618c067c195d0fca4f8a95af51c3f4c712684e4178c09eaee713bf204a082,,TRUE,,DEFAULT,DEFAULT,,
chromaphyll,chromaphyll,,,,,,,d701044859bc15e1d68caa65f7de1256e298353561ed7ec5c6f20e04893eddb7,,,,DEFAULT,DEFAULT,,
chronver,chronver,,,,,private,,43668be73f3d17337b01b1c8f762a3878b980f4148502eb9557a9305b72743b7,,,,DEFAULT,DEFAULT,,
chroot,chroot,development,,,,,,111878adf016aa15969f6551ece3d733ed277f47eb80b7ede5e142dcb075932f,,TRUE,,DEFAULT,DEFAULT,,
cinephile,cinephile,"media, generic",,,"award, buff, film, indie, masterpiece, movie, niche",,,e9cf68004455156ffac6994c4d336948b5825ccaf005594629f827fecc643924,,TRUE,,COMMON,DEFAULT,,
cobrakai,cobrakai,&c,,,,,,2f7ef4fd7d59de2896bd9293d79e4b1094f121d17fe7890ad738bc76247f2d14,,,,DEFAULT,DEFAULT,,
cocu,cocu,&c,,,,,"French for ""deceived""",97ba45a8a7d6172753313e6d986ef7c3c76f83927c123bd0e0e633f3b2bdbe90,,,,COMMON,COMMON,,
coda,coda,development,,,"code, doc, docs, edit, editor, sh",,,59f83041b84831596a52949da8b28a4e4edd7de7d16de7897039044d120cf85f,,TRUE,,LEGENDARY,EPIC,,
codegear,codegear,tech,,,,,,6a5e82825e614d4880b2cbc615d521c8426bdb6835e1e2d5e081a38db5c6e1b2,,,,DEFAULT,DEFAULT,,
codesh,codesh,development,,,,,,e93026ea2dcc78e6544fa95f1823888e9edd5b904f96076550be9c6151228fd1,,TRUE,,DEFAULT,DEFAULT,,
coinledger,coinledger,decentralize,,,,,,810f81c1209e1db8977727f92b969d98a6489437d0f602167435f20b40e30248,,,,DEFAULT,DEFAULT,,
collectr,collectr,"decentralize, art",,,,private,,477ad0fcc2de9d77ba5ea4c521875ab61dbb357f5b4674b0eb0c395be49f7b3d,,,,DEFAULT,DEFAULT,,
colors,colors,design,"kolor, kolors","copic, crayola","a11y, bad, best, bright, crayola, copic, dull, fav, favorite, favourite, good, great, my, paint, pantone, skin, swatch",,,b529bb52a2f1f4e641a2f2f9892280d45e93eb6e54dddb7306079ae084f6275e,,TRUE,,EPIC,EPIC,,
colorware,colorware,,,,,,,305781c49bd49ab45b3355ff40e6bfbf5b083205303b9eec0dcee9267b45257e,,,,DEFAULT,DEFAULT,,
commentariat,commentariat,,,,,,,754950e16b9211ee5b87d4beda63d554cad2ef0bcca77f012252686fa269c12c,,,,DEFAULT,DEFAULT,,
communitree,communitree,"culture, tech",,,,private,,058fedfbfb833cbaf111b0f9c86ace7d8062f5b956fca0a63dd35f8936756550,,,,DEFAULT,DEFAULT,,
compile,compile,,,,,,,dac688a65f9e4b3339798b7e592a4de4ca68be2356c19c3c8cbb62ec7ef9c966,,TRUE,,LEGENDARY,EPIC,,
congeal,congeal,dictionary,,,,,,c3fece59da19ac6aa4f7ef328479ef8f4857792457311f0450a6596a47dd8070,,,,DEFAULT,COMMON,,
conglomerate,conglomerate,business,,,"business, co, company, corp, industry, llc, ltd",,,8b85add59e646fc1aaff8cdc36e5b3c613032738323d433e1be66695e151585a,,TRUE,,RARE,COMMON,,
conspiracies,conspiracies,deus ex,,,"alien, center, co, conservative, gov, government, left, political, pro, progressive, right",,,d2ac6d000061c0058f59cf8554ed92cd2ee55e89ee60c38823760d2af03d69ba,,,,DEFAULT,COMMON,,
cori,cori,,,,,,,dd5e99060facc10fb87bba6399333d9e12e6e681b7607a477872683df9dc4b4e,,,,LEGENDARY,EPIC,,
coroutine,coroutine,"development,  tech",,,,,,285a6d4657d905b1c4af111b23dbbd2203e035e72ccf8e3824103b5afbbde8db,,TRUE,,COMMON,RARE,,
corsage,corsage,love,,,,,,7d1065e452359ff760f7ade07ec8ed0779b7fac21627aa0c2f8bc07227b16c46,,TRUE,,RARE,COMMON,,
cowrote,cowrote,,,,,,,f48c882f86fc7b0dee3a983ec19d59103d304f4e72e0ebeb9d7a18b59c9c06f2,,,,DEFAULT,DEFAULT,,
craftwork,craftwork,"design, development",,,,,,f0d5dcec05dab8aeb79faeefa6d467350c8d1d9c6538f3e722cdaab0db7b5e4a,,TRUE,,DEFAULT,COMMON,,
crax,crax,nature,,,,,,b5bc55924fdd706c20b6e2f20dfacfa0c6198ac54ec9ec202ae4d0878ec0094f,,,,COMMON,RARE,,
credendum,credendum,,,,,,,303fe0bc6d1fa93803b17dfb27aad3c4dddcf283923e179114ba2807f255516d,,,,COMMON,COMMON,,
creek,creek,nature,,"dawson, dawsons",,,,41dd80d8dfff8ddbbf4faa2922c86e1617420515482a4733a6e9a296c1291b80,,TRUE,,LEGENDARY,EPIC,,
crestline,crestline,nature,,,,,,4c4bea09e062c2873f505c319e33e9e5a0a7b0ec8bc41f4ea8d53bfc47643e4e,,,,COMMON,COMMON,,
crud,crud,development,,,,,,939b3af9c15a53c01e0550046dd05e95471f3c134ca34b51b67b7db619f6ff0b,,TRUE,,RARE,RARE,,
crypdough,crypdough,,,,,,,0606d2fbe33de464b68a7d29175cfcd9e71f33ef4253f57601b8bb03c50d8592,,,,DEFAULT,DEFAULT,,
cryptocatt,cryptocatt,decentralize,,,,,,04f25309a1f3427ca2f1b428ecf876ad30a3aefa163f2eda17645a16a7d96cd1,,,,DEFAULT,DEFAULT,,
cryptodoge,cryptodoge,decentralize,,,,,,52a34e8434ca626a33d72e2ef1a73618218f8497c845dc3bb6b061a8a297ca04,,,,DEFAULT,DEFAULT,,
cryptokat,cryptokat,decentralize,,,,,,e8a4977995b0238a0eed33ea29260ec58f225e595bce588630a68db57e8f96d0,,,,DEFAULT,DEFAULT,,
ctos,ctos,watch dogs,,,,,,8b40cbeb11cbd7df86507fb890a399ff6218231ac8f43955fa50c874f5056b23,,,,DEFAULT,COMMON,,
cursor,cursor,"design, development",cursors,,"a, code, mouse, page, pointer, the",,,cbfd768b520cae56163fc5de94599a4160a9cf4bfd271ccde8aea91903d9dbf5,,TRUE,,LEGENDARY,EPIC,,
cursors,cursors,"design, development",cursor,,"a, code, mouse, page, pointer, the",,,f9ffae89fe656c9693625bc2787f94b98001b35c458b9a64ed8d6e3d82ae2a8c,,TRUE,,COMMON,COMMON,,
cusl,cusl,&c,,,,,,92e58ead7bed99e50ad84fd5ee1dc10ff5e88520c2ad2ec4e1b6282537c2db48,,,,DEFAULT,COMMON,,
cyberworld,cyberworld,,,,,,,c318e1f911bc6ccccc6dd26702ca543447a736e2522584b555213b1521757a4d,,,,DEFAULT,DEFAULT,,
dachs,dachs,&c,,,,,,a1c442b6c525d91bd87fbab63f38251788b0ea162a50a7b7b86c7f6e4a26c293,,,,RARE,COMMON,,
dacoity,dacoity,hack,,,,,"Indian for ""banditry""",9d62cfec648045e3f6e2ab88fbf4022b3e3392d6e75e00d9254c536eac11ae8b,,,,COMMON,COMMON,,
damcense,damcense,,,,,,,cdd2dbbc62914512ed9555ea7a852436df4100463897964989098883352be31d,,,,DEFAULT,DEFAULT,,
damncense,damncense,,,,,,,1fa6ece28bf94caf9ceebd5ebc1cd46aebd11071106069feadaeace5a120aa7d,,,,DEFAULT,DEFAULT,,
daotoken,daotoken,"decentralize, finance",,,,,,718aec2d5a92c47cebab0fd6be6d5107d3d3d0b9c74eceaec7dd21ea2b62990d,,,,DEFAULT,DEFAULT,,
darkling,darkling,dictionary,,,,,,d5b36e7e73b1a03040ee8110e0b54b800ce30c0022ea5384062df07dc423abbe,,,,COMMON,COMMON,,
darklings,darklings,dictionary,,,,,,f0f1d90d730a529e3697606daf779321570acc96119f1e6a065c6364fe6f1042,,,,COMMON,COMMON,,
dataclass,dataclass,,,,,,,b18c986d8106a2e3e0e877338ea7f34c961228fa81fcf2ba9a6a198b0036da8e,,,,DEFAULT,DEFAULT,,
datafutures,datafutures,tech,,,,,,cc27a2da1551b6a3cc20ad7d62f21c12f931b208cfd017307237292742297794,,,,DEFAULT,DEFAULT,,
dataklass,dataklass,,,,,,,b1c75e04a7cec410dee84e93f6369087a289d36eca05f83ff64cae273ce3941c,,,,DEFAULT,DEFAULT,,
datalove,datalove,,,,,,,c44ebd534f46f6cad449dd642aa1761e042e957f98c09c5c7c099470364ef775,,,,DEFAULT,DEFAULT,,
datarius,datarius,tech,,,,,,aa9dd282e555ef7b7a1fb0fe5ac236bc03d446d603d0f36e57782495e6998d88,,,,DEFAULT,DEFAULT,,
datastore,datastore,tech,datastores,,,,,8b40b78527e98619fdaf55510bc038cddb69a545dfbcad803c38f5c1a7669178,,TRUE,,DEFAULT,DEFAULT,,
datastores,datastores,tech,datastore,,,,,071823b96577c83ad8a92f0f65b4fea35d8277621c350797ed1da29c08b658c8,,TRUE,,DEFAULT,DEFAULT,,
datastruct,datastruct,tech,datastructs,,,,,6f2e77d3f0a78bb94c72f1c0f660c9bcc3e11e1019aed806654a6844c8968177,,TRUE,,DEFAULT,DEFAULT,,
datastructs,datastructs,tech,datastruct,,,,,8132dd1660362eefb87d9593674d313eca35e50b0126f4a2f46f7c134635abb4,,TRUE,,DEFAULT,DEFAULT,,
datemark,datemark,&c,,,,,,c21266fff3871c4d22fbae177e41e8e0a6d9bb99c88d44933d86d1c5b6038788,,,,COMMON,COMMON,,
davidsarif,davidsarif,deus ex,,,,,,d44c702c2c420a3223f3dd6f1773313d694453a71cce21f5d06fbb6bfbcee90c,,,,DEFAULT,DEFAULT,,
daydream,daydream,,,,,,,131fdd22089498b845242c121dd5fc0e6f2cdb001bacd4373e65e045fb716e95,,,,COMMON,COMMON,,
daydreamed,daydreamed,,,,,,,7041aba58c8595e2eca8dda3d59a5d35db42abd9801b08ca4a4006ebb545e487,,,,COMMON,COMMON,,
daydreams,daydreams,,,,,,,dbde7a0f319d3945011d41ae89b0857f9609dec82374cd1187d25fc057be3302,,,,COMMON,COMMON,,
dedsec,dedsec,hack,,,,,,4f296a9c6a03469f4718d8df6878b8ba72579af9361faa5afc6d334854fd3f33,,TRUE,,DEFAULT,DEFAULT,,
dedware,dedware,hack,"dedwares, dedwarez",,,,,82db6ee8f8f1322c1251e75d8e07d722b1502853f66f0cb22b8b8dad923af276,,TRUE,,DEFAULT,DEFAULT,,
dedwares,dedwares,hack,"dedware, dedwarez",,,,,bcd6edc54052d008ef8c86c262a05f4dcd7270b5a743584c5d0ef2ffc1b90bbf,,TRUE,,DEFAULT,DEFAULT,,
dedwarez,dedwarez,hack,"dedware, dedwares",,,,,65227a7f9cd9869a6faab48d6155e0846e00dc6a2047cb5c918f342f5a215aba,,TRUE,,DEFAULT,DEFAULT,,
defini,defini,"decentralize, finance",,,,,,55418abeab8e207518e72dbbb192f90527947cc7f3d3232cf18f758f6a77a7f2,,,,DEFAULT,DEFAULT,,
defivault,defivault,"decentralize, finance",,,,,,4a8e2da2642977d659da1280fb96ac97dd48593c327daec1cbcf3ca239032ca4,,,,DEFAULT,DEFAULT,,
dehost,dehost,tech,,,,,,fa3268ad6ea80830b4f9c645aed024cdf2b798e366ec584273e31f17c3ab7fa1,,TRUE,,DEFAULT,DEFAULT,,
demasu,demasu,japan,,,,,,39b58616f77a7c0996914f672c441eb264ad5932c097ad043048a2ab77635d5f,,,,DEFAULT,DEFAULT,,
demex,demex,development,,,,,,578a21938dfb7f1f9678fc9be1e170fa24b644041a7508b5f6c69618ad2f1006,,TRUE,,DEFAULT,DEFAULT,,
destroy,destroy,,,,,,,918eb8b1130f5a183ba6e25750e3f7416177b5cb0a06a8de7de2002c447c6c84,,TRUE,,EPIC,EPIC,,
destruct,destruct,,,,,,,6d4c6e927a439058500929ae4e6906dbff95f66cbbcbf0cf25616790c2d19bd3,,TRUE,,COMMON,COMMON,,
deutschemark,deutschemark,business,,,,,,7d5676a8a5fd5ce13d3f0f5ceb676db0a5c6b1363a42f3cbb1ae0f69dd26a3db,,,,COMMON,COMMON,,
xn--developers-lqa,developers³,development,,,,,,9a93cfebefa8f114b2c933b4770ea7d2dcd557224be595ba06a75e84610ccb69,,,,DEFAULT,DEFAULT,,
dicta,dicta,,,,,,,6b322265302d91915c03bbee2f99e08d8225b868d38df38079302bcf25fce2d6,,,,RARE,COMMON,,
didact,didact,,,,,,"synonym for teacher, educator, instructor",5a7b22b68a2b6f11f73ed183dd2b641f3dea15bcd24ec0a9702628ad5bcb2305,,,,COMMON,COMMON,,
digestif,digestif,,"aperitif, apéritif",,,,,2e296e53020dfacd7cf45c845cbb97fe78649475ad7cada906bdbc6133dad9ab,,TRUE,,RARE,COMMON,,
dingbat,dingbat,"design, write",dingbats,,"buy, font, opentype, otf, speciman, specimen, truetype, ttf, type, typeface, woff, woff2",,,3bb9d5a825165340366902760083a5c34ba39b357732bcdfb66327b95cbe0e74,,TRUE,,COMMON,COMMON,,
dingbats,dingbats,"design, write",dingbat,,"buy, font, opentype, otf, speciman, specimen, truetype, ttf, type, typeface, woff, woff2",,,3bb9d5a825165340366902760083a5c34ba39b357732bcdfb66327b95cbe0e74,,TRUE,,COMMON,COMMON,,
dinner,dinner,food,"brinner, lunch",michelin,"after, app, before, bill, buffet, buy, deliver, do, menu, purchase, reserve, rsvp, schedule, star, takeout",,,431f8624cbeda8c7b5ce565055503d9d3f25878d884420199b2cb718f3515aca,,TRUE,,LEGENDARY,EPIC,,
diskette,diskette,tech,diskettes,,"floppy, mb, shareware, software",,,e180d2345899c47002512acdc08af36c6d3fa527c8fb3e1055e240b5993f5a4e,,TRUE,,COMMON,COMMON,,
diskettes,diskettes,tech,diskette,,"floppy, mb, shareware, software",,,56c714654f96dbf6f4adf7ae8bb02b086e74e77adc32259124339b68a6ee12ca,,TRUE,,COMMON,COMMON,,
diso,diso,&c,,,,,,8f98f67f407bbd53af72c46eeeb28674d5a6ec88c1c931aa3008e59061b874f4,,,,DEFAULT,COMMON,,
disrespect,disrespect,generic,,"doctor, dr","greatest, ultimate",,,26a421954f05bc93a00873d4aa11a7747f6a9982dc7c1ee238ab5f8e2860ee57,,TRUE,,COMMON,COMMON,,
dist,dist,development,,,,,,0d01e4ffd9f285f783c52619c8cc8ce5dd9cd0fd60d835018bccb7737399c3fc,,TRUE,,RARE,LEGENDARY,,
diviner,diviner,spiritual,"diviners, divinity","diviners, divinity","ancient, angel, astro, astrology, god, goddess, spirit, spiritual, tarot",,,e263c32a6045e3abb30c898fb8cfe43ae55e466ed7e8f544bc033bba57beecd4,,TRUE,,COMMON,COMMON,,
diviners,diviners,spiritual,"diviner, divinity","diviner, divinity","ancient, angel, astro, astrology, god, goddess, spirit, spiritual, tarot",,,8f93df6e788b908f90e7d531a8d246e3c51e691d62c94fd92001e7bf4d440ae5,,TRUE,,COMMON,COMMON,,
divinity,divinity,spiritual,"diviner, diviners","diviner, diviners","ancient, angel, astro, astrology, god, goddess, spirit, spiritual, tarot",,,325c4d11368ca454608ce10d6c8059a3f862e8423647279283b9ff5052ae1308,,TRUE,,EPIC,COMMON,,
dmta,dmta,&c,,,,,,257f209d7f2257af7dbaa46cd22cc739e47ea5476d98ccf1c80df1d13d477513,,,,DEFAULT,COMMON,,
doomscroll,doomscroll,"culture, tech","doomsurf, gleefresh, goodscroll",,,,,0a816e55a9d8c53e80e68d1caa8e9a3d1c5f2959e6def15dec899b8276169fa0,,TRUE,,DEFAULT,DEFAULT,,
doomsurf,doomsurf,,"doomscroll, gleefresh, goodscroll",,,,,2be60cc1533baa87788262131d85a047cf85740926213535a2472838c7a28756,,TRUE,,DEFAULT,DEFAULT,,
dopameme,dopameme,"culture, tech",,,,,,5a940f484a3448d265d857eec4eef20f38ae9e22aba58ce6b9f6b4ddeb3017b5,,TRUE,,DEFAULT,DEFAULT,,
gaea,gaea,,,,,,,4070fc9238c0090e39cbe684c1ca246fe817f50f6b338b1d6cdbdb222c852b53,,TRUE,,COMMON,,,
haute,haute,,,,"couture, fashion, fancy, french, paris, france, et, sew, quality, live, dress, cuisine, travel, art",,,562cf2f4511ae377622c8a6b76950be66d304a8da1cd4763264e05e0f12e9063,,TRUE,,LEGENDARY,,,
dotpad,dotpad,,,,,,"good standalone company name, pastebin-esque maybe?",42e1a22b181e306b398e206c6b877ce43ac9192b069608eae635011703a92075,,,,DEFAULT,DEFAULT,,
doua,doua,&c,,,,,,57d2c936b4f251eff8ab155065578972dd543756cf2e8f94f86f96dcc83e8f30,,,,COMMON,DEFAULT,,
dragonair,dragonair,&c,,,,,,675873e72072dcecfd7ed9b2f85a905765bed491ae5b040e0ff5f0d8166ac230,,,,DEFAULT,DEFAULT,,
drasil,drasil,,,,,,,e4484e2f32d7bf652e3cf2ee8ca08bf21f53a0eb2836d42c5b962aec2dffcc9b,,,,DEFAULT,DEFAULT,,
dreamplace,dreamplace,,,,,,,373169040b423272221c174633cd5e2a990e609ddfbf37e255b041efc00f32cd,,,,DEFAULT,DEFAULT,,
dribble,dribble,sports,,,,,,0c18ed96910778cec38c33288decaad4809f2d43c721e9053c1b45af9edfdce6,,TRUE,,RARE,COMMON,,
dribbles,dribbles,sports,,,,,,7af75bf1ab1f871331617254bbe515369e04535453f300bd9ebf2066eecf7017,,TRUE,,COMMON,COMMON,,
drives,drives,tech,,,"cyber, hard, hd, hdd, local, remote, solid, solidstate, ss, ssd, web",,,8683747a6318875abac150341205260be4ff2e44c30575fedcd2d21684fbef74,,TRUE,,EPIC,EPIC,,
drivr,drivr,&c,,,,,,292eb10725be44f2253d2136d436b5135100d0e3642b624a7c50157f60140c6b,,,,DEFAULT,DEFAULT,,
dscd,dscd,&c,,,,,,0ce31ae70e0f7395ff5e4878a4fdb1f2f156ac73a675aca1fff4173cda098afb,,,,DEFAULT,COMMON,,
duim,duim,science,,,,,,17b99d16f687d2cad91e9d9c62c45d49b0d477c45bd12b414c36863e5ca175a9,,,,COMMON,EPIC,,
duki,duki,&c,,,,,,76db2b5866d89aaf1ae1e7be3ac765c9303658b51111174d86c67b9037e995f7,,,,DEFAULT,COMMON,,
dynacore,dynacore,deus ex,,,,,,c9db8a03c9e799eba24e850b83ad39aaab5765a5a10be67de08afb2cbd699b24,,,,DEFAULT,DEFAULT,,
dynavar,dynavar,,,,,,,602552ab25277239fbcea21d56d8defea6a5b15f1e1c0a4e0d4c5d58d746c899,,,,DEFAULT,DEFAULT,,
dynavars,dynavars,,,,,,,433cd203e0ff0d94caee245e291dd8d404beebc1e55ceb723c2996f722725174,,,,DEFAULT,DEFAULT,,
e2ee,e2ee,,,,,,,a6ee9931492cbec020bc2fca5893014e7dce767811cc6d19032916e47f204d5a,,,,DEFAULT,DEFAULT,,
ebcdic,ebcdic,tech,,,,,,060b8d4e6ec85c7d59ede233a200f824f483b5bb07a3ea3097eac85e5f2a48b0,,,,RARE,COMMON,,
ecmascript,ecmascript,development,,,"code, database, db, javascript, js, program",,,6d6c4bc749a6370dad36425c0510c855a65639f53e2d656afc83f72e9922b133,,TRUE,,COMMON,DEFAULT,,
eddies,eddies,cyberpunk,,,,,,8b636f8cb4292e8844d8f72c9e71384d95114a2e99b15ef0475051a0673c1c0a,,,,COMMON,RARE,,
editor,editor,"design, development",editors,,"blog, code, digital, fun, graphics, palette, text",,,ed37844f285895dce70e303853b041231fcba36ccf43658c6e73340f52dbef54,,TRUE,,LEGENDARY,EPIC,,
editors,editors,"design, development",editor,,"blog, code, digital, fun, graphics, palette, text",,,00d59874d5e3749ee9ae322738b547546c456bc9b4e85f9221ce5c10f7d8f1ad,,TRUE,,EPIC,EPIC,,
elago,elago,&c,,,,,,1e34a0b0e016386eb00a00b54186d0642cb12e15aab42c6f1336b058b18fb04e,,,,DEFAULT,DEFAULT,,
emersion,emersion,dictionary,,,,,,e970a4649dc2b3ab1fff543413a09df7eac61a2f01b6f548fbb42d06b7e82506,,,,COMMON,RARE,,
emperori,emperori,&c,,,,,,d4943d8e47c89e3d26b104e699116f7b785eb39532c2b4ac319c653f291bfd15,,,,DEFAULT,DEFAULT,,
endif,endif,development,,,,,,d9bd318add8632edb577e2f18596677a725fb76e4070e34dde80968e6066e803,,TRUE,,DEFAULT,DEFAULT,,
endpoints,endpoints,development,,,,,,5aa296bf2d69868cbad3c2c700f0968a3136c95f9b9efe349a7cd9f24ce1ea38,,,,DEFAULT,COMMON,,
enthuse,enthuse,dictionary,,,,,,f762f3beebb6b1747f82071c3feb8bfd783694a6cb1ad30900c18ec8c4519b86,,,,COMMON,COMMON,,
environs,environs,"dictionary, generic",,,,,,320582cdd8fa518de1be9c2906ab7fa9c5a0ae777d9df1712dc35e2e4e59428e,,,,EPIC,COMMON,,
erykah,erykah,,,,,,,546c8fa67126a0397fadee67ae0fc8b77e85c920c430dde8a381eccd6c5c5079,,,,RARE,DEFAULT,,
etapes,etapes,&c,,,,,,3bb56c6b97753b5a874f0544d1723cd47f5fb7e93348ab220f2ef2f482ccb368,,,,COMMON,RARE,,
etocoin,etocoin,,,,,,,ea9c22c5b8e3f95d7ba0ae036b0cb726ad7a97bb9635b4ab79b9c962cfb00f28,,,,DEFAULT,DEFAULT,,
ettu,ettu,,,,,,,f4320580c3d2b1a178d6e70284ff548cb561bac8bb99edded353bad7ec5a2972,,,,DEFAULT,COMMON,,
eurodollars,eurodollars,cyberpunk,,,,,,389730820ab3981cbe0af3386eb7da53f09714e4e07e3fd170287def1c96191c,,,,COMMON,COMMON,,
europanet,europanet,&c,,,,,,e74366f9ec2181b719875e6f20149655940f1f11757d44ef4b56f9f6fd52af2e,,,,DEFAULT,DEFAULT,,
everbank,everbank,decentralize,,,,,,0638f5a2d84e544f477d813f4844a892335c931445cc3c6e10cdf8d80ad02247,,,,DEFAULT,DEFAULT,,
evicore,evicore,&c,,,,,,4f70d1622eed0f8a8a06eac81c2683450fb2371110fc5bdae4ad1c4cc8436015,,,,DEFAULT,DEFAULT,,
example1,example1,,,,,,,d4a6e689b390cd98fc7dd5211738fad7ee0710f9964b0888231baba9972c2159,,,,COMMON,DEFAULT,,
example2,example2,,,,,,,a143b77497b5a47188ae82ccabb8a326f985dc8239e530f3ba58154e2b46cac3,,,,COMMON,DEFAULT,,
example3,example3,,,,,,,e67b3591614696ab8c1d99443a06dbebea26a172b9a77a4eaf048c01aa95a673,,,,COMMON,DEFAULT,,
exampled,exampled,&c,,,,,,43a028e14955c3d1689dc1e8572ad3e66230e10bc489705a2e7c7a7444f6a4a7,,,,COMMON,COMMON,,
examplename,examplename,handshake,,,,private,,62dc792aad9284ef4334bb5958c5da596936b84f3d301bee36274c232ed331ff,,,,DEFAULT,DEFAULT,,
exclamation,exclamation,write,,,,,,dc9c86e3624a3ec4ef37c4ec58dc193ed4f1ee12de32c55e3e177dd873214a2a,,TRUE,,COMMON,COMMON,,
executable,executable,,,,,,,0e216d07efa95d1a30765b8d943421209bc19458182cb9903904a2afebf4f3fe,,TRUE,,RARE,RARE,,
exogen,exogen,&c,,,,,,b060a72a6fd9c9c019b65195dced37ebe26325bebd7b74290a73c67af9676383,,,,RARE,RARE,,
exorcise,exorcise,dictionary,,,,,,e82666c618c02a4ebfdc24da826d788946414bc768fb77c83d12ba4d294ded65,,,,DEFAULT,RARE,,
external,external,generic,,,,,,89556154f30252d09d22eb33f0435f11eecdc6c661039cce13b52a8266767902,,TRUE,,EPIC,EPIC,,
