ascii,unicode,collection,pairs,reserved,premium,status,notes,hash,nope,beachfront,description,tier,tier (toptlds),emoji,reserved
24hrs,24hrs,shop,,,,,,d93c03c53a56586ddb822a283e86ef48abe8c3a9fdb83a553d09c306ae5d3be9,,,,DEFAULT,DEFAULT,,
2oo,2oo,&c,,,,,,63f7f1355a623282b1dc33faa85c10a0c0d6f88065dc0919fd71a4ef5274545c,,,,DEFAULT,DEFAULT,,
xn--rrh,④,&c,,,,,,2e9cc92a9dc091f0b0c18fd9aeb3bf462bdf93943a46ac4ca3648e58f34d98a5,,,,DEFAULT,DEFAULT,,
50p,50p,shop,,,,,,b4bf29f34fe2ddf9f6de91480a0ce54e0f927e18aed662544e96579785545ead,,,,DEFAULT,DEFAULT,,
5oo,5oo,&c,,,,,,307c438d5b029fc90d6f6969c2f59c49c0252fc596866decf6dcc66d1e187e8a,,,,DEFAULT,DEFAULT,,
abilao,abilao,nature,,,"fruit, grow, ripe, tree",,,e7288738b73380c0c795ab6c7aa16d57861f3f11a4db179ac04913ff0971cc82,,,,DEFAULT,RARE,,
acapella,acapella,music,acappella,,"audio, perform, rap, sing",,,ee228738a50eae119767744de4b19f66799461bcfb32f24f32fcd3a3c24110a7,,TRUE,This extension is perfect for singers and enthusiasts of singing without instrumental accompaniment.,DEFAULT,DEFAULT,,
acappella,acappella,music,acapella,,"audio, perform, rap, sing",,,6e693aec702702669bb9cc5a66089e7ca8c98de63db97eb29be7b764e141cfc4,,TRUE,This extension is perfect for singers and enthusiasts of singing without instrumental accompaniment.,COMMON,COMMON,,
accentuates,accentuates,dictionary,,,,,,4b7843825f277b76f49930ce4bc362025425b25fce4ece8737920295b8972be5,,,,DEFAULT,COMMON,,
acmecorp,acmecorp,,,,,,,4f09a1194ad3de9d3675bf83fd5fe8db1b64099c3db1b3851d51f3636e9857f4,,TRUE,,DEFAULT,DEFAULT,,
adamjensen,adamjensen,deus ex,,,,,,f442a7955bbebc96e3aa8e6cb2a6761da96fbe3a3e66b35d04b3c69e01292e1e,,,,DEFAULT,DEFAULT,,
adblockers,adblockers,tech,,,,,,b7e0479c02ada8b4f2aa36c2c67cad42e91de3040e144dc071e3032e8277cc3c,,,,COMMON,DEFAULT,,
admire,admire,,,,,,,6dfc3562944aca2fb47f9fc03a19f00c4c7e36ee0d9580f24e90532dc96cffee,,,,LEGENDARY,RARE,,
adza,adza,&c,,,,,,6b24991a5c4816e513a9f0395cb9b4ec6d932ebd47e52b9e0df58871cc2b36e1,,,,DEFAULT,COMMON,,
aeria,aeria,,,,,,,41eacc43a8ee04d7a4d2fc3ddbede86a1e181a1a8142f1676597dc957edcd95f,,,,DEFAULT,DEFAULT,,
afrobeat,afrobeat,music,,,,,,97896b58b46b3eb86b7a80e59e93627dafbad8147a72f9af88a95ffa9b1e7db2,,TRUE,This extension is perfect for enthusiasts of the afrobeat genre.,DEFAULT,DEFAULT,,
afrohaus,afrohaus,,,,,,,47c1adb4576bd1bd68c6c5b720699b86f921fbe8d1251fa00404d381fc9302de,,TRUE,,DEFAULT,DEFAULT,,
aihr,aihr,,,,,,,0b420e731dc1e2905b9728261bc511824acf7a13c8a1c18ea87dfd23e2436fe7,,,,DEFAULT,COMMON,,
airhead,airhead,dictionary,,,,,from military to slang…,2dea12d05d53abcb687e74cfe54a720050eb4160cf8ab0b9af6f608015a07cc0,,TRUE,,DEFAULT,RARE,,
airtime,airtime,media,,,"radio, tele, television, tv",,perfect for radio/televised programs or even sports,b81cb43731e394fabb26823d54e5a5590cc9bd87d033261c456490f180c233d5,,TRUE,,COMMON,RARE,,
alcyon,alcyon,&c,,,,,,23798613442ae594afa2a6e4076fff5d4be7d103b03177f2d45368049ae32909,,,,RARE,COMMON,,
alladat,alladat,culture,,,,,,3d11387126e0ee314452209b41c2cbc6cddef50f4eaeb4236053a9913d88bb3c,,TRUE,,DEFAULT,DEFAULT,,
allnice,allnice,&c,,,,,,337916b59e2f499c39289a439add1e4a5a00bed3d58e2636db37d2e44ccb7f5b,,,,DEFAULT,DEFAULT,,
alludes,alludes,"dictionary, generic",,,,,,956b14ed293589b25af3669e82e2851f814dae9cabfeb01f159604a4d0ef7ddb,,,,COMMON,COMMON,,
alphabetical,alphabetical,,,,,,,b11b2b0575d31a58c8e8b450a9a301e89ca5ab34e91a71e34d0b2f1af33040e8,,,,DEFAULT,RARE,,
altrecht,altrecht,politics,,,,,"German for ""old law""",a4263e777e3c8c645f05ae24291779de80184b0279a916d78c8c5c5b4c211d32,,,,DEFAULT,DEFAULT,,
amain,amain,dictionary,,,,,,7571128e5e5d2854852dc54da89ca38df23bd27bf10e085c836cef32a9c2bda6,,,,COMMON,RARE,,
amej,amej,,,,,,,d89ee4f67266f46cd06d6586b6cd988a51e405fa75804f8208315fd8acba0442,,,,DEFAULT,COMMON,,
amoebae,amoebae,nature,,,,,the plural form of amoeba,ebbabcd6c6666cd08209b0b8d0459f55f047b47cad0b6c85ec168afff858c666,,,,DEFAULT,DEFAULT,,
andale,andale,dictionary,,,"fast, hurry, quick, slow",,"Spanish for ""come on"" or ""hurry up""",8848b0741fa9d8a4cab4e6da81575ca80db6845c135bd37dc6d8fff4237034f9,,,,DEFAULT,DEFAULT,,
andme,andme,&c,,,,,,669cab8cdeec0f5e431a56f8a2d06bc70dfa1ad5837ef7045f478ca4d22c079f,,,,DEFAULT,DEFAULT,,
ani,ani,design,,,,,,fbd8d260e9dc5fd3e2f59fa1323ae839b6a091b9485e8b90054f7d572b8209b5,,TRUE,,LEGENDARY,LEGENDARY,,
antennae,antennae,dictionary,,,,,,8ed3009ac933dc106e3a571e09513aa2efc94eb6ec9879558b9fdd17a8847d3c,,,,COMMON,RARE,,
antifascist,antifascist,politics,,,,,,948abcc9d98a0a70355222944a89d48bda10f368d5f54247ccc558f98fe300ef,,TRUE,,DEFAULT,COMMON,,
anyhoo,anyhoo,,,,,,,350fe2143cbdceaed15cf1833ce10a2125038e5bef03aa9cb2ea3bc9c9e55721,,,,DEFAULT,DEFAULT,,
aperitif,aperitif,,"apéritif, digestif",,,,,b3de240a33cbacd50ce0fcf35749143608a91bd77eee44802d69bc6c19d7fa2c,,TRUE,,COMMON,COMMON,,
xn--apritif-cya,apéritif,,"aperitif, digestif",,,,,fb04a99d67e3b128d3de5ac12f9a1ce390e68931a7f4df3dc7b1d5a5f26a5447,,TRUE,,DEFAULT,DEFAULT,,
apocalypse,apocalypse,cosmic,,,"issa, itsa, itsthe, holy, now, the",,,6e67e18afe1667b2f07aa10769e56e3f760ae1325189c529ff7ea655fdd68535,,TRUE,,COMMON,COMMON,,
applebee,applebee,&c,,,,,,69c5a035fe00df72f3d6e6fba8db917789acbd3b557c742454275e31bbdcfc95,,,,DEFAULT,DEFAULT,,
architech,architech,"design, development",,,"an, the",,,3679d89bd06a567c48b9c48f8066be35e975c4838d37f781698e617cfee6e4d9,,TRUE,,DEFAULT,DEFAULT,,
arsehole,arsehole,"generic, politics",,,,,,09c121eb8cf33a94ea6a4b4f4e387cb63a84caca398aab2bdbb81917eaaed963,,,,COMMON,RARE,,
artfun,artfun,,,,,,,c61a750dac5afe1d15da3478416697ec51cc10d192bf74befdd1f7e0ac9304c9,,,,DEFAULT,DEFAULT,,
asabiyyah,asabiyyah,,,,,,,6a2cd5d2ddb1163f31609393ef8537c9c9e92ded0b15c17a09681afe1c418511,,,,DEFAULT,DEFAULT,,
asterio,asterio,&c,,,,,,1e15d85723da71e1a364aeb289bed878c5e65f55f898113ad3343c25711f8351,,,,RARE,DEFAULT,,
astre,astre,,astres,,,,"""home"" in French",689bfbda87601807a3ced1d7b19a862db4a9e279f08b32016e4567f217572506,,TRUE,,RARE,COMMON,,
astres,astres,,astre,,,,"""homes"" in French",d5fa5522a4a38a923540d56c92569f546c13ecb8212dc74374f75b6b15dc5169,,TRUE,,COMMON,DEFAULT,,
astronautica,astronautica,cosmic,,,,,,37a745934f125a0187875694289936cac2634c54580cc575efe8a8d77b805074,,TRUE,,DEFAULT,DEFAULT,,
astronautical,astronautical,cosmic,,,,,,c95a323d2d86294bc4d726a8de31e66a76d50ac7ced8b95ae79a8f8c95af0d44,,TRUE,,DEFAULT,COMMON,,
athene,athene,deus ex,,,,,,55e1e080995691d6c6d8f58baab64c169d8058ec805d7cd45f45f271d2863b1a,,,,COMMON,RARE,,
attr,attr,development,,,,,,cd0b5ece946b98619b97675e069ab637a746b988ba3f65666ef36ee533ed6a4e,,,,DEFAULT,COMMON,,
augmentations,augmentations,deus ex,,,"cyber, deusex, dx",,,5cdc9a2432dc5f6f4e44bc8ea5348fcbca2a7f7d7c10e30fa489c7bddb3d82d2,,,,RARE,COMMON,,
augments,augments,deus ex,,,"cyber, deusex, dx",,,fb66c0318748e2dac75c56c0cd2c7c79bff8bf85b7dc281ef5a4e82ed7ed20b8,,,,COMMON,COMMON,,
avec,avec,&c,,,,,,33a02aa55823b07ca5d3173bf4d81dddd5b5a840b15609786105c1928da16ef7,,,,EPIC,COMMON,,
avif,avif,media,,,,,,7c0296f31d828e511c803a24bd9ecaf3ffe8612791ea964d4f29e8f27e24ab20,,,,DEFAULT,COMMON,,
avir,avir,,,,,,,f68db54b0502ebaeb63875563ed55c4cc703e7b4c3d9579fa99189eff25121c9,,,,LEGENDARY,COMMON,,
await,await,development,,,,,,2d9d3bd997e2e88f5b44cd5565b1b46964c43c079ead00caac023b93104eff11,,TRUE,,COMMON,RARE,,
awesomesauce,awesomesauce,,,,,,,80dca36762f5e5b42aa38b64de6fa4d5ee0b3b737ce0e45ab9c4d043cec6df78,,,,DEFAULT,DEFAULT,,
backend,backend,development,,,"app, cd, ci, code, deploy, edit, init, new, repo, sh, shell",,,e17dcb4e28158375c8493eccd02cbdaf1beae7a4bb2a19b11c727a94d662bdbf,,TRUE,,COMMON,DEFAULT,,
backframe,backframe,dictionary,,,,,,78a80b0accc34a1938a60644335305152855f1fad030f7d12935caf8b0403cc3,,,,DEFAULT,COMMON,,
backhand,backhand,sports,,,,,,627eb38cb2ea32feccabd65cb604906cf4e21a86d176e2066c0eaf481cdeae74,,,,COMMON,COMMON,,
backlists,backlists,&c,,,,,,fa2f266fcc858dbd246b95fb0c84b6bdb93847332cdf79c64f37096da530228b,,,,COMMON,COMMON,,
backlogs,backlogs,&c,,,,,,1e6826feca63ae4987d59cf1aae1fc06283ad9072c91d6604ee6b8a3df7657f6,,,,COMMON,COMMON,,
backrest,backrest,&c,,,,,,e754bb9eef77491ae60026aa6c64ca94527e886162b29ce26cc00785cd42e9af,,,,COMMON,COMMON,,
backsides,backsides,&c,,,,,,f2a1f354f58c4e551c7a7fcf0c97576cb255cbee70ee75b92477846fb00466b9,,,,COMMON,COMMON,,
backspin,backspin,sports,,,,,,9e1f722cde6dbdc9a37371fa8caf0beeae8b77899340e24374bba6a39f3aaa2f,,,,COMMON,COMMON,,
backyards,backyards,&c,,,,,,b2da43864fb07d4b6bd24124b7544079da46c4a5cd0d3e9539b6fb7ab80be1ef,,,,COMMON,COMMON,,
baft,baft,&c,,,,,,5011316f84f56b2456790a474b554bd12100daa71c9f53d529745897ecd512a5,,,,COMMON,RARE,,
baggy,baggy,&c,,,,,,1d93fc723e8669a3c8706d44c48ce9a26d1ba2b45f0a87ecdda0355ff8edfb9d,,,,COMMON,COMMON,,
